ID,Order ID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit
1,7bf83a58-6c3d-4275-b037-e4512276a73b,2021-11-20,2022-04-12,First Class,585924,Patrick Tate,Consumer,Cuba,Jenniferville,New Mexico,76070,East,2f6137a6-ccbc-4b89-863b-930d376e2bde,Office Supplies,Accessories,Right-sized non-volatile migration,693.46,2,0.15,31.31
2,13b97520-7445-4d62-8137-e32850beaed6,2023-01-21,2022-07-07,First Class,900121,Christina Martinez,Home Office,Guyana,North Leslie,Massachusetts,49454,East,c5df364f-f63d-4dc5-bad9-c7245233eb15,Technology,Storage,Multi-lateral systemic hierarchy,334.61,3,0.33,45.06
3,7c7f1c42-24a3-40be-8454-5e415911a0b1,2021-09-08,2021-07-20,First Class,943188,Jennifer Patrick,Consumer,Spain,Mullinsshire,Maine,47941,North,9f059281-f073-4f43-b1a6-d9bee47141d3,Technology,Storage,Vision-oriented system-worthy infrastructure,506.59,3,0.28,15.04
4,7bc6234e-48dd-40c3-abd7-9bbcf95ec691,2022-09-22,2022-06-09,Same Day,190058,Daniel Morris,Consumer,Switzerland,Williamport,Minnesota,18794,North,7b6eacc8-4f2d-4a8f-9007-f79a5fafd50c,Technology,Storage,Enhanced even-keeled contingency,741.48,6,0.42,43.73
5,43ec807f-2041-4171-974d-0866765ecf4f,2022-10-09,2022-10-16,First Class,323555,Justin Baldwin,Corporate,United Kingdom,Elizabethburgh,Washington,13039,North,7fae3362-fd06-4857-8546-ecd16f87245e,Technology,Copiers,Object-based tertiary ability,720.89,9,0.4,81.0
6,de38c5f7-f2f3-4f0c-8df3-26399028dc59,2023-04-22,2021-08-13,Second Class,884786,Katherine White,Consumer,Northern Mariana Islands,Heatherchester,Texas,11119,West,195d523f-bc92-4937-b650-39013bfddec9,Furniture,Bookcases,Self-enabling holistic time-frame,689.02,7,0.11,72.35
7,0e7cbef7-dd87-462b-b537-1c72e1c12414,2021-11-25,2021-05-15,Standard Class,769148,Samuel Marsh,Home Office,Slovakia (Slovak Republic),Port Brittany,Colorado,81633,North,0596c30b-a84e-4b5f-a24e-88257a7788d9,Office Supplies,Tables,Total asymmetric middleware,775.7,3,0.14,88.99
8,2f53ba61-4894-4836-ac99-d637c588852d,2023-03-15,2023-01-23,Standard Class,902322,Joshua Rogers,Home Office,Hong Kong,North Laurafort,New York,13829,South,39ccb0ec-4c3a-4d08-a625-8f5266816f54,Technology,Chairs,Focused contextually-based budgetary management,584.26,10,0.02,82.31
9,11137db8-f92c-426b-a93e-2c38b2be4048,2022-12-09,2023-04-06,Second Class,924502,Kenneth Andrews,Consumer,Sao Tome and Principe,North Lindsayberg,Kentucky,56697,West,681a1a92-7088-4205-9dec-52b31b4a5d2c,Technology,Copiers,Re-contextualized incremental circuit,285.65,9,0.25,86.07
10,bb103374-9930-4618-a9a5-d53d470f5d58,2022-06-16,2021-07-13,Standard Class,838977,Dr. Allison Lee,Corporate,Tokelau,Erikaberg,Delaware,82101,East,33ab9708-667e-4415-9c41-ff2ce1070641,Office Supplies,Tables,Mandatory attitude-oriented moderator,587.23,8,0.26,14.76
